customer_id,customer_name,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_segment
SE-20110,Sanjit Engle,10,11,12209.44,5,5,5,15,Champions
JL-15835,John Lee,22,10,9576.34,5,5,5,15,Champions
PK-19075,Pete Kriz,10,12,8646.93,5,5,5,15,Champions
HM-14860,Harry Marie,3,10,8236.76,5,5,5,15,Champions
LC-16885,Lena Creighton,17,12,7663.13,5,5,5,15,Champions
PO-18850,Patrick O'Brill,5,11,7473.83,5,5,5,15,Champions
YS-21880,Yana Sorensen,10,8,6720.44,5,5,5,15,Champions
DR-12880,Dan Reichenbach,4,9,6528.03,5,5,5,15,Champions
JG-15160,James Galang,2,11,6366.39,5,5,5,15,Champions
WB-21850,William Brown,21,10,6129.71,5,5,5,15,Champions
QJ-19255,Quincy Jones,26,9,6108.34,5,5,5,15,Champions
BF-11170,Ben Ferrer,17,11,5907.97,5,5,5,15,Champions
MH-18115,Mick Hernandez,6,9,5503.09,5,5,5,15,Champions
EP-13915,Emily Phan,13,17,5478.06,5,5,5,15,Champions
AH-10210,Alan Hwang,7,9,4805.34,5,5,5,15,Champions
DK-13225,Dean Katz,11,9,4802.39,5,5,5,15,Champions
RA-19915,Russell Applegate,13,9,4793.54,5,5,5,15,Champions
RB-19465,Rick Bensley,10,12,4715.47,5,5,5,15,Champions
SM-20950,Suzanne McNair,26,11,4464.86,5,5,5,15,Champions
TP-21130,Theone Pippenger,9,9,4454.06,5,5,5,15,Champions
AI-10855,Arianne Irving,14,10,4375.79,5,5,5,15,Champions
GZ-14470,Gary Zandusky,8,9,4355.15,5,5,5,15,Champions
AB-10105,Adrian Barton,42,10,14473.57,4,5,5,14,Champions
KL-16645,Ken Lonsdale,48,12,14175.23,4,5,5,14,Champions
GT-14710,Greg Tran,37,11,11820.12,4,5,5,14,Champions
ME-17320,Maria Etezadi,43,10,10663.73,4,5,5,14,Champions
JE-15715,Joe Elijah,47,10,8697.84,4,5,5,14,Champions
NC-18535,Nick Crebassa,7,7,8241.74,5,4,5,14,Champions
BM-11650,Brian Moss,34,11,7294.19,4,5,5,14,Champions
FH-14365,Fred Hopkins,6,8,6987.2,5,4,5,14,Champions
BB-11545,Brenda Bowman,29,9,6765.73,4,5,5,14,Champions
JE-15745,Joel Eaton,52,13,6760.82,4,5,5,14,Champions
MJ-17740,Max Jones,23,7,6320.75,5,4,5,14,Champions
BH-11710,Brosina Hoffman,24,8,6255.35,5,4,5,14,Champions
VW-21775,Victoria Wilson,29,10,6134.04,4,5,5,14,Champions
SC-20380,Shahid Collister,31,9,5992.54,4,5,5,14,Champions
KH-16690,Kristen Hastings,3,7,5990.8,5,4,5,14,Champions
CB-12025,Cassandra Brandow,48,9,5730.67,4,5,5,14,Champions
BD-11320,Bill Donatelli,34,12,5718.52,4,5,5,14,Champions
SP-20620,Stefania Perrino,48,9,5440.32,4,5,5,14,Champions
LW-17215,Luke Weiss,22,7,5420.51,5,4,5,14,Champions
TT-21460,Tonja Turnell,13,7,5364.81,5,4,5,14,Champions
MW-18220,Mitch Webber,18,7,5341.9,5,4,5,14,Champions
RP-19390,Resi Pölking,34,12,5153.08,4,5,5,14,Champions
KL-16555,Kelly Lampkin,17,8,5016.49,5,4,5,14,Champions
MP-18175,Mike Pelletier,17,8,4757.33,5,4,5,14,Champions
ES-14080,Erin Smith,29,9,4657.92,4,5,5,14,Champions
SC-20050,Sample Company A,41,9,4624.57,4,5,5,14,Champions
ND-18370,Natalie DeCherney,28,9,4326.14,4,5,5,14,Champions
AT-10735,Annie Thurman,14,10,3831.86,5,5,4,14,Champions
BP-11185,Ben Peterman,2,9,3675.86,5,5,4,14,Champions
CC-12220,Chris Cortes,21,11,3670.26,5,5,4,14,Champions
CS-12400,Christopher Schild,3,9,3651.86,5,5,4,14,Champions
MM-17920,Michael Moore,8,10,3640.26,5,5,4,14,Champions
DK-12835,Damala Kotsonis,22,12,3256.48,5,5,4,14,Champions
HG-14965,Henry Goldwyn,24,12,3247.64,5,5,4,14,Champions
CS-12355,Christine Sundaresam,7,11,3202.16,5,5,4,14,Champions
CS-11950,Carlos Soltero,26,11,3036.55,5,5,4,14,Champions
LS-16975,Lindsay Shagiari,21,9,2988.67,5,5,4,14,Champions
DS-13180,David Smith,24,9,2881.81,5,5,4,14,Champions
CC-12430,Chuck Clark,1,10,2870.05,5,5,4,14,Champions
CS-12250,Chris Selesnick,27,12,2754.22,5,5,4,14,Champions
SV-20365,Seth Vernon,102,10,11470.95,3,5,5,13,Loyal Customers
JD-16150,Justin Deggeller,42,8,8828.03,4,4,5,13,Champions
DR-12940,Daniel Raglin,51,8,8350.87,4,4,5,13,Champions
SB-20290,Sean Braxton,48,7,8057.89,4,4,5,13,Champions
